Name,Enrollment No.,Gender,Contact,City,PEM,DM,OS,COA,OOPJ
ujir khan,180280116160,m,231-777-4427,Surat,37,37,63,37,33
kumari archana chauhan,180280116161,m,488-430-2168,Bhuj,60,43,17,37,24
rakhi sharma,180280116162,f,705-346-5136,Bhuj,44,65,23,47,61
anita kumari,180280116163,f,454-090-1962,Bhavnagar,68,39,38,16,39
ekamjeet,180280116164,f,833-774-3655,Amreli,52,42,48,21,32
vijay kumar,180280116165,m,199-664-4373,Bhuj,45,70,63,54,59
babli,180280116166,f,824-528-1074,Gandhinagar,25,65,19,38,40
shashi,180280116167,f,245-216-2978,Ahmedabad,44,46,60,43,39
seema,180280116168,f,378-001-6942,Bhuj,48,52,45,27,27
deepak,180280116169,m,460-691-7226,Ahmedabad,34,18,16,27,20
naresh kumar,180280116170,m,970-458-3363,Surat,50,63,22,38,51
narender saini,180280116171,m,396-216-8695,Bhavnagar,50,48,51,33,36
reema,180280116172,f,928-872-5624,Vadodara,30,29,59,44,41
sagira begam,180280116173,f,820-109-8666,Amreli,41,28,42,32,28
sanjay kumar tripathi,180280116174,m,461-027-7738,Bhuj,40,37,16,60,18
prya @ choti,180280116175,f,695-385-2531,Gandhinagar,70,70,70,68,60
rameshwar kumar,180280116176,m,558-096-2508,Vadodara,30,26,31,35,54
ranjit singh,180280116177,m,486-773-8852,Vadodara,28,62,38,65,58
priti,180280116178,m,556-140-8850,Rajkot,32,38,65,23,29
sukar yadav,180280116179,m,874-244-4396,Gandhinagar,34,54,28,48,43
monika munda,180280116180,f,203-398-5908,Ahmedabad,63,62,67,60,67
sonu kumar,180280116181,m,360-303-9994,Bhavnagar,69,54,70,39,53
shiv charan,180280116182,m,710-124-4630,Ahmedabad,38,62,46,39,46
matadeen,180280116183,m,842-734-6191,Vadodara,57,42,41,60,33
dipika chaturvedi,180280116184,f,398-834-4286,Amreli,24,38,49,50,40
sajid,180280116185,m,187-532-0745,Bhuj,60,60,66,62,67
nilam sharma,180280116186,f,542-245-1527,Vadodara,70,48,69,60,44
kumari himanshi,180280116187,f,765-242-4829,Vadodara,16,59,57,32,24
surendra,180280116188,m,118-091-1238,Rajkot,62,40,47,68,34
sanchit mittal,180280116189,m,773-563-2329,Ahmedabad,70,65,47,25,33
gangajali devi,180280116190,f,909-149-0446,Vadodara,62,67,68,67,65
surindera rajpal,180280116191,m,672-627-0806,Bhavnagar,22,48,60,61,24
pooja,180280116192,f,914-611-6664,Amreli,65,40,69,27,51
nitin  or rohit,180280116193,m,922-295-0596,Bhuj,31,31,41,21,16
mamta,180280116194,f,726-607-7382,Bhuj,66,61,61,67,65
sikha,180280116195,f,739-135-6372,Amreli,65,63,68,62,68
sandeep,180280116196,m,611-846-1385,Amreli,62,64,40,67,24
waseem,180280116197,m,652-876-6072,Rajkot,31,24,37,59,62
pooja,180280116198,f,855-720-4458,Bhavnagar,31,37,30,37,70
bhawna sejwani,180280116199,f,574-632-4613,Vadodara,66,64,69,66,67
nikita,180280116200,f,645-356-8442,Surat,28,69,41,63,35
kunj bihari,180280116201,m,206-349-3786,Rajkot,64,62,68,70,65
sonu pandey,180280116202,m,270-358-7786,Vadodara,27,47,20,16,46
shrimati maya devi,180280116203,f,393-173-0570,Rajkot,68,28,22,20,69
madan mohan meena,180280116204,m,982-267-7039,Vadodara,47,64,53,48,58
smt. divya @ chhoti,180280116205,f,626-772-7318,Gandhinagar,21,53,43,49,40
tabbsum,180280116206,f,531-782-5480,Bhuj,46,65,60,62,49
tej pal singh,180280116207,m,797-171-1740,Vadodara,37,36,66,69,44
priyanka,180280116208,f,720-859-3748,Vadodara,56,18,19,56,68
reeta @ rachna,180280116209,f,240-007-7312,Bhuj,39,35,22,29,52
vikrant,180280116210,m,759-520-0029,Ahmedabad,62,51,60,24,22
ashu,180280116211,m,902-085-4274,Gandhinagar,45,31,44,32,60
poonam kumari,180280116212,f,689-069-6362,Bhavnagar,41,42,59,58,25
mandu ram,180280116213,m,156-107-9811,Ahmedabad,33,69,65,39,40
fatima,180280116214,f,976-877-9252,Gandhinagar,33,57,68,20,30
priti suman,180280116215,f,105-734-1430,Bhavnagar,17,67,19,52,46
poonam,180280116216,f,196-315-1377,Amreli,54,49,64,62,60
manish kumar,180280116217,m,727-500-0356,Vadodara,26,48,24,29,27
prahlad,180280116218,m,917-231-2517,Surat,67,66,65,60,60
mohad islam,180280116219,m,186-502-7488,Bhavnagar,58,60,50,27,67
nankesh,180280116220,m,851-076-4800,Vadodara,17,47,19,69,21
reena,180280116221,f,518-547-7608,Bhavnagar,60,32,55,35,25
kiran,180280116222,f,593-443-0068,Ahmedabad,67,21,21,60,30
gitika,180280116223,f,497-878-0707,Amreli,67,68,61,66,63
deepali,180280116224,f,333-624-2155,Vadodara,41,49,35,31,27
akil@sonu,180280116225,m,927-172-8378,Rajkot,55,38,27,62,22
rekha,180280116226,f,420-817-8761,Vadodara,42,17,58,70,70
geeta,180280116227,f,998-519-0044,Rajkot,36,41,52,40,33
said mohmad,180280116228,m,300-884-0029,Vadodara,15,62,32,16,45
renu,180280116229,f,389-681-0039,Bhuj,49,52,21,47,50
hansraj,180280116230,m,812-440-7436,Amreli,52,41,46,57,42
pinky,180280116231,f,495-680-8640,Amreli,54,36,17,19,44
ghanshyam,180280116232,m,909-883-2868,Amreli,58,42,24,27,61
simran,180280116233,f,550-097-8192,Rajkot,60,70,68,63,60
sakcham,180280116234,m,476-135-3482,Vadodara,40,28,36,17,17
reena,180280116235,f,561-593-4094,Bhuj,47,28,65,23,69
laxmi,180280116236,f,353-546-8192,Vadodara,63,67,63,68,65
nasim,180280116237,m,354-725-2867,Vadodara,70,64,60,64,63
mohamad awar,180280116238,m,859-380-7310,Gandhinagar,63,70,61,63,69
jitender,180280116239,m,361-126-7661,Bhavnagar,27,56,19,31,38
ku. fatma,180280116240,f,250-129-2584,Amreli,60,70,66,62,68
arti,180280116241,f,693-537-5906,Gandhinagar,59,43,37,55,70
najrana,180280116242,f,500-394-8245,Bhavnagar,33,59,20,35,51
ashu,180280116243,m,999-734-2850,Bhavnagar,65,33,65,61,56
aftab,180280116244,m,776-303-8629,Ahmedabad,52,64,54,59,31
deepali,180280116245,f,760-736-3403,Gandhinagar,61,68,68,67,64
sabina bano,180280116246,f,236-142-9870,Bhavnagar,18,65,24,18,53
vinay,180280116247,m,528-846-8623,Vadodara,26,53,33,18,42
raj kumar choudhry,180280116248,m,530-226-5847,Surat,59,66,69,31,62
vishal chaudhary,180280116249,m,900-559-9732,Bhuj,37,55,43,69,16
pappe das,180280116250,m,808-842-7148,Surat,23,48,58,19,15
banwarilal,180280116251,m,338-009-8732,Ahmedabad,67,61,65,62,69
pooja,180280116252,f,928-049-3287,Rajkot,22,57,63,46,21
renu,180280116253,f,519-702-0875,Bhuj,57,53,57,53,51
nitin @ bhura,180280116254,m,878-659-0742,Amreli,19,67,52,58,48
meena,180280116255,f,908-213-7708,Surat,47,28,47,69,55
pinky,180280116256,f,967-401-9917,Ahmedabad,22,47,17,68,32
rukhar,180280116257,f,753-647-4296,Surat,17,63,67,17,22
shikha kumari,180280116258,f,636-450-8818,Ahmedabad,18,68,18,53,56
md. asif @ sahil @ ashu,180280116259,m,719-419-1779,Bhuj,70,64,32,47,35
manisha,180280116260,f,793-029-0015,Ahmedabad,18,29,68,42,65
shehnaz,180280116261,f,604-840-2290,Bhuj,22,47,20,57,44
priyanka,180280116262,f,698-723-1226,Bhavnagar,53,20,27,39,49
pawan,180280116263,m,241-670-2639,Surat,47,44,35,48,39
neeraj singh,180280116264,m,768-042-3512,Vadodara,32,32,34,70,18
sahiba @ ruby,180280116265,f,869-249-5341,Rajkot,27,47,48,21,56
rachna sharma,180280116266,f,340-638-1892,Bhuj,56,52,60,24,31
sunil chauhan,180280116267,m,346-574-9156,Ahmedabad,50,57,22,17,17
mool chand,180280116268,m,949-705-3928,Rajkot,33,20,15,46,50
ajay kumar,180280116269,m,762-319-3684,Surat,66,64,65,60,69
aarti,180280116270,f,705-650-0567,Vadodara,64,63,66,61,66
bhojaram,180280116271,m,618-059-2085,Surat,60,60,62,65,65
anil,180280116272,m,840-729-3468,Bhavnagar,64,40,59,21,57
rakesh sharma,180280116273,m,907-645-3762,Gandhinagar,28,42,63,47,35
farah,180280116274,f,308-549-7749,Amreli,45,50,31,25,15
heera lal @ sunil kanojia,180280116275,f,805-715-4521,Ahmedabad,67,61,61,63,63
vikash,180280116276,m,883-694-8013,Bhavnagar,37,24,22,23,35
sufian,180280116277,m,714-673-5443,Bhuj,27,51,28,56,19
ravina,180280116278,f,807-623-4611,Surat,35,20,24,27,32
chotan,180280116279,m,399-552-0769,Surat,24,19,37,24,37
inderjeet @ munna,180280116280,m,107-678-9575,Bhuj,16,65,58,24,15
leela devi,180280116281,f,619-822-3328,Ahmedabad,65,69,62,68,66
ajay,180280116282,m,265-218-0441,Amreli,70,61,65,69,66
mala,180280116283,f,800-087-6042,Gandhinagar,60,51,50,20,64
yogendra,180280116284,m,388-689-0133,Surat,33,68,25,42,35
mohseena biwi,180280116285,f,935-613-3931,Bhuj,61,51,20,21,65
shivani,180280116286,f,115-521-3841,Bhuj,60,65,61,65,69
soniya,180280116287,f,820-377-1664,Gandhinagar,59,51,22,33,66
manuja,180280116288,f,860-431-9475,Amreli,54,23,44,63,57
kumari arti,180280116289,f,384-885-0352,Vadodara,47,31,29,36,69
joholal soren,180280116290,m,771-130-6414,Bhavnagar,34,33,59,42,23
dilawar,180280116291,m,978-418-7159,Amreli,27,66,36,19,56
fiza parveen,180280116292,f,269-568-9468,Vadodara,26,67,45,36,67
sugai vishwas,180280116293,m,322-780-9052,Surat,65,65,60,61,69
su-shree  pishta,180280116294,f,806-322-7727,Bhuj,20,22,16,35,45
sarita,180280116295,f,912-464-9495,Amreli,63,29,59,18,29
anchal,180280116296,f,328-237-0544,Bhuj,22,27,59,19,24
prakesh gupta,180280116297,m,948-668-5240,Ahmedabad,41,36,31,36,66
arvind kiran,180280116298,m,373-819-1819,Gandhinagar,34,28,57,49,59
raj kumari,180280116299,f,347-556-3045,Bhuj,67,63,65,70,66
sonam,180280116300,f,685-032-6690,Bhavnagar,53,65,47,64,48
pushpa tejshri,180280116301,f,161-382-5930,Bhavnagar,59,54,41,70,68
lakshmi devi,180280116302,f,483-324-5396,Bhuj,70,69,67,60,70
md aariv,180280116303,m,647-250-6862,Bhavnagar,30,25,31,36,37
chintan saini,180280116304,m,578-644-9591,Vadodara,62,53,25,64,68
sabana @ sabbo,180280116305,f,513-778-7633,Bhuj,43,62,36,62,64
naina,180280116306,f,879-164-7842,Bhuj,32,69,39,18,46
rahul sharma,180280116307,m,175-043-1902,Bhuj,69,63,45,25,33
tara munda,180280116308,f,867-349-7927,Rajkot,23,34,53,22,30
harmeet kaur,180280116309,f,559-249-4678,Gandhinagar,69,69,65,70,67
ashok pal,180280116310,m,128-821-3172,Amreli,49,45,42,15,67
laxmi bai,180280116311,f,466-335-7543,Surat,16,34,62,37,52
smt dhaneshwari devi,180280116312,f,758-345-8094,Bhavnagar,34,60,69,55,17
poonam,180280116313,f,582-361-0648,Gandhinagar,23,15,69,25,21
chettan,180280116314,m,137-722-6559,Bhuj,51,65,67,50,33
banty,180280116315,m,589-142-3833,Rajkot,63,46,22,42,21
parveen suyal,180280116316,m,313-451-5240,Vadodara,60,69,65,67,70
aaftab aslam,180280116317,m,922-108-2452,Amreli,58,19,23,25,57
tanmay,180280116318,m,120-286-6799,Bhuj,16,24,35,33,34
parvez,180280116319,m,718-600-1244,Rajkot,39,64,23,19,65
harender,180280116320,m,782-516-0956,Ahmedabad,25,44,33,69,40
satish,180280116321,m,541-051-7463,Gandhinagar,32,63,16,26,46
dariya kanwar,180280116322,f,470-772-0324,Rajkot,65,64,61,63,64
nisha @ sonu,180280116323,f,996-797-1059,Vadodara,22,44,37,21,64
mustak ahmed,180280116324,m,504-296-3803,Gandhinagar,70,63,67,65,69
navnit garg,180280116325,m,492-356-6903,Gandhinagar,66,54,31,20,35
arvind kumar @ sonu,180280116326,m,920-671-2417,Bhuj,70,16,61,24,27
kuldeep singh,180280116327,m,443-776-3857,Bhavnagar,31,38,69,39,42
archana,180280116328,f,688-605-0847,Bhavnagar,29,48,61,26,36
paratibha,180280116329,m,312-032-2673,Bhavnagar,16,29,62,51,64
mohd chand babu,180280116330,m,615-801-6443,Gandhinagar,39,39,64,63,35
kajal singh,180280116331,f,452-676-2532,Surat,68,69,64,62,67
durganand,180280116332,m,942-810-4987,Bhavnagar,46,64,65,39,60
ashad madik,180280116333,m,282-144-1158,Bhuj,61,31,18,57,60
bhala ram,180280116334,m,718-772-6698,Rajkot,48,28,21,56,29
deshraj,180280116335,m,116-515-8520,Gandhinagar,69,69,70,61,62
rajendra pal,180280116336,m,524-811-1376,Gandhinagar,64,66,65,63,70
swaliya,180280116337,f,682-444-6054,Bhavnagar,64,55,31,67,24
gurmel kour,180280116338,f,263-862-0497,Surat,63,28,43,70,24
asrf,180280116339,m,971-108-4189,Amreli,46,64,23,30,54
aarti,180280116340,f,218-376-6195,Bhavnagar,50,25,49,22,17
akhtari @ muskan,180280116341,f,915-011-3782,Rajkot,68,70,64,68,64
sonam,180280116342,f,502-588-9815,Rajkot,64,65,69,64,64
sandee[,180280116343,m,294-459-4841,Bhavnagar,65,67,64,69,69
rakesh,180280116344,m,570-448-9310,Bhavnagar,57,15,45,69,61
vimlesh,180280116345,f,180-709-4053,Rajkot,70,67,60,64,70
dharm pal s/o nawal singh,180280116346,m,946-601-1332,Bhuj,43,15,41,52,52
sumer malik,180280116347,m,445-231-3698,Rajkot,48,53,48,51,48
shashi pandit,180280116348,m,647-371-6115,Rajkot,62,31,59,61,27
nisha,180280116349,f,646-360-8973,Gandhinagar,15,67,52,38,38
anash,180280116350,m,826-511-5980,Bhavnagar,26,26,15,16,21
pooja,180280116351,f,592-748-1578,Surat,65,60,41,29,64
bhopal,180280116352,m,608-515-0369,Rajkot,46,63,50,31,67
heera kumari,180280116353,f,322-378-4072,Surat,18,67,65,50,22
poonam,180280116354,f,169-176-7591,Rajkot,24,58,42,37,66
amit kumar nagliya,180280116355,m,452-345-5575,Bhuj,54,47,59,22,41
girja,180280116356,f,547-228-2434,Amreli,38,22,63,24,20
lakshya sharma,180280116357,m,933-822-7767,Ahmedabad,26,64,65,68,36
narender singh,180280116358,m,878-143-1625,Surat,66,62,65,62,66
nisha@neelam,180280116359,f,358-841-4179,Bhuj,56,35,66,37,48
bal kishan @ bunty,180280116360,m,747-133-9366,Gandhinagar,38,39,56,48,56
naina kaushik,180280116361,f,630-616-9445,Bhuj,16,38,54,37,68
akash,180280116362,m,994-540-8404,Rajkot,51,50,30,57,36
dimple,180280116363,f,632-216-8492,Rajkot,64,68,65,65,66
himanshu,180280116364,m,199-075-9620,Bhuj,26,17,61,19,59
anuj,180280116365,m,962-864-3053,Gandhinagar,41,45,67,28,45
madhu,180280116366,f,715-746-3062,Surat,31,37,64,36,58
pooja,180280116367,f,851-875-1799,Surat,40,26,58,35,31
shankar lal,180280116368,m,932-437-1719,Surat,50,68,47,60,44
sunil garg,180280116369,m,861-729-9643,Ahmedabad,63,57,43,68,67
mamta,180280116370,f,371-068-4241,Bhuj,62,62,68,66,62
ravindra singh kandari,180280116371,m,711-126-4178,Surat,67,25,68,50,22
sant ram,180280116372,m,547-545-1748,Surat,41,58,37,35,62
jabir,180280116373,m,154-373-8925,Vadodara,39,64,45,54,63
deepak,180280116374,m,992-067-9206,Bhavnagar,23,36,57,23,42
arti,180280116375,f,893-148-4989,Rajkot,60,63,60,66,65
rahul jain,180280116376,m,945-790-0501,Amreli,43,58,27,51,46
anil kumar,180280116377,m,830-666-8275,Rajkot,56,61,16,28,24
kumari jyoti,180280116378,f,555-845-8546,Rajkot,26,39,65,61,70
ram dev yadav,180280116379,m,779-617-9384,Bhavnagar,70,66,24,64,36
richa,180280116380,f,888-508-3336,Vadodara,70,49,19,60,22
hardeep,180280116381,m,885-108-7010,Bhavnagar,35,42,43,41,69
om prakash,180280116382,m,115-842-7600,Bhuj,70,65,66,68,60
usha sharma,180280116383,f,223-462-4276,Vadodara,20,54,23,69,32
anish,180280116384,m,912-698-8731,Gandhinagar,59,64,41,46,37
vikram singh,180280116385,m,415-630-5522,Surat,53,39,32,32,37
yasodha,180280116386,f,541-574-8501,Gandhinagar,17,15,25,46,32
lokesh,180280116387,m,646-443-2307,Gandhinagar,61,66,68,70,66
sheela devi,180280116388,f,216-339-7143,Vadodara,46,41,26,67,39
aarti,180280116389,f,944-135-1463,Ahmedabad,15,50,43,24,39
shalu,180280116390,f,692-584-5273,Gandhinagar,64,67,63,66,70
salman,180280116391,m,602-543-3389,Bhavnagar,66,64,60,40,70
reshma,180280116392,f,980-513-0983,Surat,64,69,65,64,60
kishan yadav,180280116393,m,741-203-2622,Ahmedabad,58,39,31,36,61
sonu kumar,180280116394,m,801-827-5090,Bhuj,22,66,33,19,21
ravinder,180280116395,m,132-104-5046,Rajkot,27,47,61,28,53
parvesh,180280116396,f,827-207-8627,Bhavnagar,62,50,19,43,48
naresh kumar,180280116397,m,381-024-8435,Gandhinagar,19,50,56,33,68
rachpreet kaur,180280116398,f,480-852-3702,Gandhinagar,61,32,16,44,70
geeta,180280116399,f,477-280-0552,Ahmedabad,24,63,40,24,15
kirpa sankar,180280116400,m,914-595-9408,Ahmedabad,45,68,60,22,29
sonam,180280116401,f,661-720-7335,Bhavnagar,59,49,40,36,32
nirmla,180280116402,f,934-560-9816,Ahmedabad,62,61,67,68,70
paras,180280116403,m,168-753-4393,Ahmedabad,45,33,26,66,51
shakshi@ megha,180280116404,f,420-008-3134,Amreli,64,64,69,61,61
sh amrik singh,180280116405,m,341-524-5582,Bhuj,41,44,17,70,43
renu,180280116406,f,870-512-6860,Bhavnagar,59,25,65,22,39
nikita,180280116407,f,283-435-1103,Ahmedabad,32,35,38,38,47
sohail,180280116408,m,978-529-7543,Ahmedabad,40,43,57,22,36
bhawna,180280116409,f,885-779-6795,Rajkot,37,35,21,65,62
kaluram saini,180280116410,m,374-713-9878,Gandhinagar,69,65,68,66,60
rajna,180280116411,m,354-149-9482,Gandhinagar,44,34,27,26,65
bhawana kapoor,180280116412,f,915-230-8850,Gandhinagar,46,61,63,38,15
hawa singh,180280116413,m,560-160-8396,Rajkot,56,60,43,27,65
pinki,180280116414,f,117-068-3165,Gandhinagar,56,70,56,67,50
priyanka,180280116415,f,276-139-0302,Amreli,60,39,70,49,30
babita singh,180280116416,f,268-045-5525,Surat,45,49,24,31,37
neeraj,180280116417,m,800-339-4416,Surat,69,40,69,46,40
kumari rachna,180280116418,f,165-781-0653,Bhavnagar,23,34,60,64,23
pinky,180280116419,f,406-145-6928,Ahmedabad,15,16,45,64,20
partima,180280116420,f,136-779-9692,Bhavnagar,62,68,19,44,29
komal,180280116421,f,974-869-8831,Vadodara,20,43,66,30,63
deepak,180280116422,m,155-380-0630,Bhuj,57,37,48,18,50
pransis kallu,180280116423,m,309-205-6445,Bhavnagar,42,32,23,69,32
charan singh,180280116424,m,460-400-3669,Surat,44,31,29,56,57
suresh kumar,180280116425,m,649-259-2155,Amreli,17,47,48,45,30
bharti kumari,180280116426,f,836-762-8005,Ahmedabad,22,56,43,56,33
savita,180280116427,f,523-003-4685,Bhavnagar,67,68,62,61,65
mahrul nisha,180280116428,f,257-300-8796,Rajkot,65,61,61,68,64
shivani,180280116429,f,424-462-6483,Rajkot,68,70,70,67,66
ashish kumar,180280116430,m,157-660-7578,Gandhinagar,49,37,53,15,59
shivani,180280116431,f,164-609-2859,Surat,66,69,63,66,70
rajkumar,180280116432,m,515-732-8623,Ahmedabad,68,62,66,64,65
rajender,180280116433,m,973-016-5686,Amreli,40,47,31,23,37
priya,180280116434,f,889-152-9992,Amreli,67,42,67,66,63
taufik alam,180280116435,m,773-077-2053,Gandhinagar,64,70,63,61,62
jahgeer,180280116436,m,284-430-7914,Rajkot,41,17,58,70,56
sehnawaj,180280116437,m,621-650-9554,Bhavnagar,65,46,59,23,63
savita,180280116438,f,357-415-5903,Bhuj,26,62,52,48,55
laxman,180280116439,m,903-568-4656,Bhuj,21,66,44,30,69
jai kumar,180280116440,m,751-478-2134,Bhuj,65,64,61,66,64
kajal,180280116441,f,101-388-6510,Rajkot,65,55,46,31,20
yasmin,180280116442,f,505-402-3073,Bhavnagar,40,51,64,40,51
sanju,180280116443,f,752-708-4528,Surat,22,32,24,69,51
sonu,180280116444,f,291-112-4431,Ahmedabad,68,43,65,38,39
ravindr,180280116445,m,525-389-8764,Bhuj,46,16,24,28,57
shital,180280116446,f,576-829-8746,Vadodara,66,63,62,64,65
moni,180280116447,f,901-192-2777,Bhavnagar,25,39,25,48,43
mukesh devi,180280116448,f,598-279-7981,Vadodara,42,37,20,42,56
pawan kumar,180280116449,m,925-001-1948,Surat,60,64,68,65,60
wasim,180280116450,m,533-400-2176,Surat,70,57,56,52,52
madhwi,180280116451,f,767-340-4252,Ahmedabad,32,45,34,16,52
surendar,180280116452,m,266-648-7486,Vadodara,38,61,66,61,62
krishna,180280116453,f,582-379-7581,Ahmedabad,53,42,36,16,37
bahwana,180280116454,f,902-557-9293,Vadodara,58,49,29,64,15
sunil kumar @ bunty,180280116455,m,593-528-7044,Rajkot,63,70,60,66,61
priyanka,180280116456,f,690-134-6459,Gandhinagar,18,56,30,63,30
ranju sharma,180280116457,f,453-207-3648,Amreli,70,61,60,68,63
shahna,180280116458,f,494-880-4324,Surat,31,57,63,54,49
meena,180280116459,f,586-851-7608,Vadodara,22,24,45,68,61
firoj,180280116460,m,737-557-7601,Bhuj,24,55,29,38,19
rajni,180280116461,f,276-628-6875,Bhavnagar,60,63,69,67,61
sabnam@ tinku,180280116462,f,699-117-8366,Bhavnagar,24,42,22,47,29
harbhajan singh,180280116463,m,186-357-3276,Ahmedabad,39,65,54,51,62
vikash arora,180280116464,m,314-343-0175,Gandhinagar,69,17,41,61,42
pradep,180280116465,m,727-353-8304,Amreli,38,33,32,69,67
ravi kumar,180280116466,m,545-398-3270,Surat,38,27,42,55,56
pawan kumar,180280116467,m,643-403-4398,Bhavnagar,32,17,60,57,32
bhauk tyagi,180280116468,m,195-215-0478,Surat,29,25,62,16,23
"rekha with two doughters pooja, lakhsmi",180280116469,f,582-333-1703,Surat,17,64,34,43,55
diksha rana,180280116470,f,422-499-8277,Vadodara,60,28,65,28,22
minakshi sainai,180280116471,f,967-132-9600,Ahmedabad,68,67,43,22,31
yeshpal,180280116472,m,644-594-6641,Bhavnagar,15,60,20,48,67
chander shekar,180280116473,m,313-184-1632,Amreli,16,17,68,33,34
akash lal,180280116474,m,194-139-2090,Bhuj,66,31,65,39,69
lilima @ manshi,180280116475,f,180-030-2250,Rajkot,29,56,28,59,33
anjali,180280116476,f,541-184-1062,Gandhinagar,47,54,57,16,26
laxmi @ gudiya,180280116477,f,625-402-5716,Amreli,64,69,63,64,62
najmin,180280116478,f,456-070-6324,Gandhinagar,64,60,67,63,65
parvati,180280116479,f,371-798-5802,Amreli,43,53,65,54,65
aarti devi,180280116480,f,974-173-9886,Surat,58,58,49,24,39
radha,180280116481,f,782-058-2724,Surat,18,67,62,46,55
smt bhagwani devi,180280116482,f,536-204-5301,Vadodara,66,62,60,42,36
neha,180280116483,f,244-117-3738,Amreli,31,59,61,43,62
amisha,180280116484,f,233-124-1053,Surat,55,54,67,18,65
